PARAM,FORMULATION,NODE_MULT,VERTIPORTS,ANG_CUTOFF,HORIZON,LANES,MARGIN,NUM_VEHICLES,PARKING_CAP,AIR_SPEED,MAX_ENDURANCE,OPERATIONAL_CAP,NETWORKS,WEATHER_SCEN,DEM_MIN_VERT,DEMAND_ALPHA,TIME_DISC,NUM_ROUTES,ROUTE_SEEDING,PP_ALGO,TPR,KNN,SEEDS
1,FBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
2,CBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
3,FBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
4,CBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
5,FBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
6,CBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
7,FBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
8,CBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
9,FBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
10,CBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
11,FBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
12,CBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
13,FBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
14,CBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
15,FBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
16,CBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
17,FBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
18,CBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
19,FBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
20,CBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
21,FBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
22,CBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
23,FBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
24,CBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
25,FBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
26,CBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
27,FBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
28,CBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
29,FBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
30,CBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
31,FBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
32,CBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
33,FBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
34,CBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
35,FBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
36,CBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
37,FBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
38,CBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
39,FBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
40,CBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
41,FBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
42,CBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
43,FBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
44,CBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
45,FBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
46,CBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
47,FBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
48,CBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
49,FBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
50,CBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
51,FBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
52,CBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
53,FBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
54,CBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
55,FBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
56,CBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
57,FBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
58,CBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
59,FBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
60,CBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
61,FBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
62,CBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
63,FBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
64,CBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
65,FBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
66,CBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
67,FBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
68,CBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
69,FBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
70,CBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
71,FBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
72,CBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,4055
73,FBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
74,CBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
75,FBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
76,CBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
77,FBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
78,CBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
79,FBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
80,CBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
81,FBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
82,CBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
83,FBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
84,CBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
85,FBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
86,CBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
87,FBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
88,CBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
89,FBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
90,CBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
91,FBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
92,CBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
93,FBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
94,CBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
95,FBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
96,CBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,1.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
97,FBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
98,CBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
99,FBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
100,CBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
101,FBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
102,CBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
103,FBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
104,CBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
105,FBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
106,CBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
107,FBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
108,CBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
109,FBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
110,CBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
111,FBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
112,CBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
113,FBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
114,CBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
115,FBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
116,CBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
117,FBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
118,CBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
119,FBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
120,CBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,5.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
121,FBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
122,CBF,1.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
123,FBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
124,CBF,2.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
125,FBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
126,CBF,10.0,5,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
127,FBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
128,CBF,1.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
129,FBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
130,CBF,2.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
131,FBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
132,CBF,10.0,10,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
133,FBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
134,CBF,1.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
135,FBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
136,CBF,2.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
137,FBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
138,CBF,10.0,30,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
139,FBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
140,CBF,1.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
141,FBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
142,CBF,2.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
143,FBF,10.0,50,15.0,180,4,3.0,5,8,100.0,90,1,Random_Network,0,10.0,30.0,1,1,Compat_Lanes,backward_one,0.7,1,345345
